Customer_ID,Name,Email,Phone,City,Product,Quantity,Price,Total_Amount,Payment_Status
1,Adam Melendez,sheila38@mcdowell.com,+1-102-231-4714x95192,,Phone,10,2268,22680,Pending
2,David Turner,dunlapjessica@hotmail.com,326.952.7173x31939,Danielmouth,Headphone,9,2975,26775,Paid
3,Mackenzie Bishop,ashley09@hotmail.com,001-157-487-3731x5536,Lake Valeriefort,Phone,3,3592,10776,???
4,Jackie Robertson,mollygarcia@williams-yates.com,286-084-5896,Antoniomouth,Keyboard,5,4364,21820,Cancelled
5,Nicole Whitaker,lsmith@howell.com,249-700-2399,New Daniel,Mouse,2,717,1434,Paid
6,Tiffany Hamilton DDS,stephanie14@hotmail.com,096.424.8050x9167,Valenzuelaborough,Mouse,7,3340,23380,Paid
7,Jacob Williams,vargasjennifer@kennedy-byrd.com,(076)065-5024x752,Port Alexandraland,Monitor,9,2530,22770,Paid
8,Jeremiah Smith,richard58@ramos.com,335-050-0429x28187,Jonesberg,Monitor,Unknown,1969,15752,Cancelled
9,Bradley Lopez,gdouglas@lopez-schwartz.com,(424)782-4280,Duncanton,Laptop,1,4588,4588,Cancelled
10,Claire Novak,alexandergregory@gutierrez.info,INVALID_PHONE,North Williamfort,Monitor,8,4123,32984,Pending
11,Samantha Murphy,jeffreycrawford@weaver.com,(598)290-4332,West Patriciaside,Tablet,5,4746,23730,Paid
12,Allison Scott,jonesshane@gmail.com,756-492-7371,Conniemouth,Tablet,10,1229,12290,Cancelled
13,Austin Jones,lisayoung@gmail.com,+1-838-688-5207x4994,Markchester,Tablet,4,3728,14912,Cancelled
14,Danielle Smith,gabrielle28@yahoo.com,275.375.1023,Andreaside,Mouse,6,3797,22782,Pending
15,Emily Townsend,jessicakelly@hudson-vargas.com,9007772921,Christinamouth,Keyboard,10,3639,36390,Pending
16,Lacey Serrano,uramirez@johnson.com,+1-965-253-1678x432,Nguyenbury,Tablet,5,3229,16145,Pending
17,Michelle Wolf,dianeashley@hotmail.com,+1-043-650-4002,Port Roger,Headphone,7,1225,8575,Cancelled
18,James Wells,davidcarter@gmail.com,8300129193,Port Matthew,Tablet,1,4043,4043,Paid
19,Anna Galvan,bennetterik@wagner.com,694.519.9036,New Douglas,Laptop,10,2680,26800,Cancelled
20,Robin Ballard,jodi32@rodriguez.com,079.420.8107,Lake Charles,Headphone,3,3350,10050,Cancelled
21,Wendy Rodriguez,bwhite@robles-beck.com,+1-349-718-4252,Pamelaborough,Mouse,6,4722,28332,Paid
22,William White,,001-657-424-8226x23471,Port Veronicachester,Phone,4,3340,13360,Cancelled
23,Jade Brown,stevenmullins@alvarez.com,(656)839-4157x453,West Jonathan,Phone,10,2899,28990,Pending
24,Nicholas Edwards,fpope@jones.com,679-911-5369,East Debramouth,Tablet,8,3999,31992,Paid
