CustomerID,FirstName,LastName,Gender,Age,Email,Phone,City,Country,Occupation,AnnualIncome,MembershipType,CustomerStatus,PreferredPaymentMethod,TotalOrders,TotalSpent,JoinDate,LastPurchaseDate
CUST00001,Julie,Edwards,Female,29,owilson@hotmail.com,424-595-3208x602,Lake Michelle,Turkey,Scientific laboratory technician,51724,Silver,Pending,Cash,99,13799.72,2025-09-26,2026-09-27
CUST00002,Rachel,Patel,Female,18,alyssagallegos@whitaker.com,682.933.8522x1672,East Christina,Congo,Civil Service fast streamer,120810,Platinum,Inactive,Mobile Banking,12,13517.67,2025-02-22,2026-03-09
CUST00003,Danielle,Martinez,Female,46,progers@hotmail.com,+1-424-391-9108x50852,West Maryland,Oman,"Secretary, company",136917,Gold,Pending,Mobile Banking,59,11073.39,2023-02-06,2023-07-22
CUST00004,Joseph,Crawford,Female,55,marthakramer@smith.net,596.211.7270x0735,Deborahland,Montenegro,"Administrator, charities/voluntary organisations",126506,Platinum,Active,Cash,7,8430.44,2025-12-12,2027-10-20
CUST00005,Colton,Mccoy,Female,28,fadams@nunez.com,001-030-949-8228x580,North Richard,Djibouti,Building control surveyor,32915,Platinum,Active,Bank Transfer,65,14609.0,2024-03-08,2026-04-06
CUST00006,Jonathan,Rodriguez,Male,32,joseph49@solomon.info,041.308.5346,Travisberg,Turkmenistan,Phytotherapist,124703,Silver,Active,Bank Transfer,84,6344.97,2024-10-23,2026-08-29
CUST00007,Jacob,Moran,Male,68,ylee@scott.com,+1-030-438-4089x47091,Fostermouth,Greece,Higher education careers adviser,122004,Silver,Pending,Card,4,6880.41,2022-11-09,2024-08-13
CUST00008,Kyle,Carlson,Male,26,juliareed@medina-hall.com,(684)253-4423x583,Conniefurt,Nauru,"Nurse, adult",23025,Silver,Pending,Card,61,13117.57,2022-09-11,2022-10-15
CUST00009,Maria,Palmer,Female,22,zberry@yahoo.com,107.147.6620x2951,New Michael,Tajikistan,"Teacher, secondary school",22859,Platinum,Active,Bank Transfer,8,17936.16,2021-07-16,2022-10-04
CUST00010,Brandon,Williams,Female,44,kbrewer@pierce.org,302-633-4101x441,Port Jermaine,Heard Island and McDonald Islands,Psychiatric nurse,81216,Silver,Active,Cash,37,9065.66,2025-06-18,2026-10-27
CUST00011,Michelle,Conner,Male,20,timothyward@dickerson.com,+1-851-472-6554x454,Hopkinsberg,Sudan,Insurance claims handler,28677,Gold,Active,Cash,49,17482.45,2021-06-21,2022-08-25
CUST00012,Shawn,Stone,Female,50,carsonrobert@yahoo.com,205-054-0865x596,West Samuel,Lebanon,Animal technologist,30045,Gold,Active,Cash,84,11995.19,2021-10-19,2022-04-09
CUST00013,Casey,Wood,Male,29,melissalopez@molina.com,(870)732-1771x010,Riveramouth,Mauritius,"Administrator, arts",120731,Gold,Pending,Card,75,10935.68,2024-03-26,2025-12-01
CUST00014,Gina,Rasmussen,Male,62,jeffrey41@yahoo.com,001-757-723-8827x696,South Gregory,Greece,"Therapist, occupational",49658,Silver,Inactive,Cash,24,2771.04,2022-10-29,2025-01-20
CUST00015,Douglas,Weber,Female,35,boydvanessa@khan.com,001-727-980-1167x71002,West Cheryl,Niger,Associate Professor,51374,Silver,Inactive,Bank Transfer,90,14547.58,2021-08-22,2023-10-22
CUST00016,Desiree,Booth,Female,24,rileysteven@yahoo.com,2217879173,Kimberlyberg,Mexico,Insurance broker,142805,Gold,Pending,Card,92,5622.88,2021-11-04,2024-02-19
CUST00017,Casey,Chapman,Female,60,ashleybauer@munoz.com,(570)090-2130,New Paula,Antarctica (the territory South of 60 deg S),"Production assistant, radio",121697,Silver,Active,Mobile Banking,42,1336.17,2022-07-07,2023-11-23
CUST00018,Linda,Garcia,Male,54,lmartin@hotmail.com,566-997-4253x35698,Sheilaville,Gibraltar,Amenity horticulturist,22632,Gold,Inactive,Bank Transfer,35,17226.09,2021-09-29,2022-03-22
CUST00019,Nicholas,Jenkins,Female,38,robbinsdonna@yahoo.com,873.833.8818x62144,Grossbury,Samoa,Higher education careers adviser,74738,Silver,Inactive,Card,13,1166.54,2024-07-11,2025-05-18
CUST00020,Heather,Baker,Male,25,barbara96@smith.com,590.215.3039,Lake Kenneth,Nepal,"Accountant, chartered certified",110010,Gold,Pending,Card,7,16764.73,2022-01-28,2024-05-28
CUST00021,Stacy,Lester,Male,67,zperkins@blankenship.com,579-764-2247x2187,South John,Anguilla,"Scientist, audiological",26037,Silver,Active,Mobile Banking,87,3440.84,2022-12-04,2025-07-15
CUST00022,Holly,Gill,Male,27,linda76@hotmail.com,001-573-085-6787x7475,Lake Paulbury,Ghana,"Production assistant, radio",130176,Gold,Inactive,Mobile Banking,41,8570.09,2024-02-02,2025-01-19
CUST00023,Deanna,Edwards,Male,38,esantiago@johnson-howard.com,001-284-537-3824,North Shannon,Saint Barthelemy,Optometrist,136853,Silver,Inactive,Mobile Banking,63,7030.56,2024-03-31,2025-06-15
CUST00024,Whitney,Cuevas,Female,49,sharon57@yahoo.com,905-939-6000x1875,Hamiltonland,Slovakia (Slovak Republic),Psychotherapist,55387,Platinum,Inactive,Card,25,8355.24,2024-03-27,2025-08-12
CUST00025,Connor,Gallegos,Male,19,cindybennett@rivera.biz,(818)268-0684,Rodriguezview,Mayotte,"Engineer, mining",47836,Gold,Pending,Card,44,1240.87,2022-05-23,2022-06-28
CUST00026,Elizabeth,Wiggins,Female,24,jeremybrown@yahoo.com,665-772-0450,Joshuatown,Macao,Historic buildings inspector/conservation officer,112382,Silver,Pending,Bank Transfer,94,17516.05,2025-10-16,2026-06-25
CUST00027,Crystal,Wilson,Female,20,kent53@gmail.com,001-492-830-4263x7347,New Josephchester,Israel,Interior and spatial designer,144512,Silver,Inactive,Card,11,13261.93,2025-03-01,2025-07-02
CUST00028,Carla,Davenport,Male,43,rross@wolfe.biz,265-624-5921,East Erikafort,Palau,Hotel manager,139649,Gold,Inactive,Bank Transfer,58,19066.65,2023-08-19,2024-02-21
CUST00029,Vanessa,Rodriguez,Male,61,omiller@dodson-coleman.com,463-570-7265x846,South Rebeccaville,Equatorial Guinea,"Administrator, local government",53788,Platinum,Pending,Bank Transfer,2,18008.83,2025-12-17,2027-05-06
CUST00030,Jesse,Jackson,Female,29,chadforbes@gmail.com,(111)924-4050x524,North Jasonburgh,Philippines,Child psychotherapist,69424,Gold,Inactive,Cash,19,14859.83,2024-01-20,2024-06-03
CUST00031,Nicholas,Newman,Male,34,rmcgee@hotmail.com,051.633.1799,West Nathanielton,Netherlands Antilles,Product designer,42797,Platinum,Pending,Card,97,5835.25,2024-01-29,2024-04-17
CUST00032,Courtney,Christian,Female,70,pattersonkelli@hopkins.org,(469)556-9170x655,North Thomashaven,Trinidad and Tobago,"Engineer, manufacturing",93597,Silver,Pending,Card,49,15214.27,2021-11-27,2023-09-25
CUST00033,Lori,Hunt,Male,55,alexis35@perry-fuentes.org,+1-149-378-2549x54706,Shaneburgh,Panama,IT consultant,39780,Gold,Inactive,Card,41,16228.79,2022-10-28,2023-11-26
CUST00034,Natasha,Mclaughlin,Female,29,brownvictor@copeland.org,(425)656-9705,Wilsonmouth,Cape Verde,"Designer, fashion/clothing",133881,Platinum,Inactive,Card,83,8444.66,2022-12-04,2023-03-02
CUST00035,Kelli,Johnson,Male,38,wendy95@carpenter.info,(491)198-0665x7216,North Misty,Lithuania,Press photographer,118955,Gold,Pending,Bank Transfer,30,8292.25,2024-08-12,2025-05-01
CUST00036,Jaclyn,Cardenas,Female,30,taylormarie@stone.com,819-307-5927x5111,Lesliehaven,Cote d'Ivoire,"Runner, broadcasting/film/video",129814,Silver,Inactive,Mobile Banking,4,9606.82,2022-11-23,2025-03-11
CUST00037,Andrea,Orr,Female,32,nicole44@clayton.org,(259)278-2007,West Derrick,Hong Kong,Cabin crew,145425,Silver,Pending,Bank Transfer,50,19285.33,2025-06-14,2025-08-17
CUST00038,Frank,Jones,Female,24,monique81@phillips-james.com,882.119.3861x11063,Juliehaven,Falkland Islands (Malvinas),Meteorologist,126345,Gold,Inactive,Cash,57,14428.6,2024-02-07,2025-01-08
CUST00039,Eric,Cochran,Female,46,combstony@gmail.com,001-470-389-1175x581,Medinabury,Congo,Web designer,136506,Platinum,Pending,Card,4,11460.84,2023-10-21,2024-12-15
CUST00040,Todd,Clark,Female,51,ochoajoseph@hotmail.com,(720)338-3462,Audreystad,Saint Helena,Music tutor,138262,Platinum,Pending,Cash,5,1261.55,2025-01-06,2027-08-11
CUST00041,Antonio,Chang,Female,61,nathanlane@scott-clark.com,001-258-417-6100,Keyshire,Bahamas,Mechanical engineer,50405,Platinum,Inactive,Mobile Banking,17,3958.2,2022-08-30,2023-08-16
CUST00042,Shane,Weaver,Female,59,dconrad@yahoo.com,445-730-7656x47118,South Kathyton,Denmark,"Psychologist, prison and probation services",147056,Silver,Inactive,Mobile Banking,65,13180.66,2024-09-21,2025-02-25
CUST00043,Kari,Mendez,Male,22,brandysaunders@hotmail.com,+1-301-157-2157,Murilloland,Fiji,Financial planner,81352,Silver,Pending,Cash,46,12050.97,2023-09-08,2025-05-07
CUST00044,Nancy,Young,Male,57,dean28@gonzalez-rose.net,240.938.7187x3383,Seanmouth,Congo,Mudlogger,21900,Silver,Pending,Mobile Banking,41,19982.33,2023-08-11,2025-06-06
CUST00045,Kimberly,Lynn,Male,36,stephenhurst@henderson.com,(620)942-9374,Laurastad,France,"Radiographer, therapeutic",128605,Platinum,Inactive,Bank Transfer,97,14647.93,2022-06-04,2024-10-11
